zip,seaport,landprice,oilreserve,existingplants,disasters,railroad,populationdensity,actual,elevation
27604,1,-1,3,3,3,2,3,N,3
27701,1,-1,2,3,3,2,3,N,3
28205,1,2,3,3,3,2,3,N,3
28213,1,2,3,3,3,2,3,N,3
28677,1,2,3,3,3,2,3,N,3
28681,1,2,2,3,3,2,3,N,3
28705,1,-1,2,3,3,2,3,N,3
28718,1,-1,3,3,3,2,3,N,3
28719,3,-1,3,3,3,2,3,N,3
28772,1,-1,3,3,3,2,3,N,3
28906,3,-1,3,3,3,2,3,N,3
68825,1,-1,3,3,-1,2,3,N,3
69147,1,-1,2,3,-1,2,3,N,3
69161,1,-1,3,3,3,2,3,N,3
69162,1,-1,2,3,-1,2,3,N,2
69212,1,-1,3,3,3,2,3,N,3
69333,1,-1,3,3,-1,2,3,N,2
69345,1,-1,2,3,-1,2,3,N,2
72430,3,-1,2,3,-1,2,3,N,3
72464,3,-1,2,3,-1,2,3,N,3
72520,3,-1,2,3,-1,2,3,N,3
72537,1,-1,2,3,-1,2,3,N,3
72573,3,-1,2,3,-1,2,3,N,3
72626,1,-1,2,3,-1,2,3,N,3
72661,1,-1,2,3,-1,2,3,N,3
72739,1,-1,2,3,-1,2,3,N,3
72747,1,-1,2,3,-1,2,3,N,-1
83213,1,-1,3,3,-1,2,3,N,2
83246,1,-1,2,3,3,2,3,N,2
83336,1,-1,2,3,3,2,3,N,2
83404,1,-1,3,3,-1,2,3,N,2
83424,1,-1,2,3,-1,2,3,N,2
83429,1,-1,2,3,-1,2,3,N,2
83469,1,-1,2,3,-1,2,3,N,-1
83549,1,-1,3,3,-1,2,3,N,3
83650,1,-1,3,3,-1,2,3,N,3
83805,1,-1,2,3,-1,2,3,N,3
83824,3,-1,3,3,-1,2,3,N,3
83853,1,-1,2,3,-1,2,3,N,-1
84002,1,-1,2,2,3,2,3,N,-1
84018,1,2,2,1,3,2,2,N,2
84037,1,2,2,1,3,2,2,N,2
84042,1,2,2,1,3,2,2,N,2
84063,1,-1,2,3,3,2,3,N,2
84083,1,-1,2,3,3,2,3,N,2
84094,1,2,2,1,3,2,2,N,2
84329,1,-1,2,3,3,2,3,N,2
84341,1,2,2,3,3,2,3,N,2
84510,1,-1,2,3,3,2,3,N,-1
84738,1,-1,2,3,3,2,3,N,3
84751,1,-1,2,3,3,2,3,N,2
84755,1,-1,2,3,3,2,3,N,2
